City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kaitangata,-46.2817,169.8464,20.17,76,99,3.55,NZ,1675220054
1,port alfred,-33.5906,26.891,18.99,96,5,2.17,ZA,1675220012
2,vaini,-21.2,-175.2,28.09,89,75,4.63,TO,1675219985
3,qandala,11.472,49.8728,22.22,74,37,2.28,SO,1675220054
4,casablanca,33.5928,-7.6192,7.01,66,9,1.69,MA,1675219757
5,port elizabeth,-33.918,25.5701,19.62,97,0,2.57,ZA,1675219986
6,katsuura,35.1333,140.3,10.01,53,13,10.7,JP,1675219506
7,dikson,73.5069,80.5464,-24.36,93,23,3.69,RU,1675219979
8,rikitea,-23.1203,-134.9692,26.23,69,4,6.32,PF,1675220055
9,mataura,-46.1927,168.8643,23.24,63,100,1.72,NZ,1675219945
10,panguipulli,-39.6333,-72.3333,11.9,64,0,0.79,CL,1675220055
11,hobart,-42.8794,147.3294,17.37,66,88,1.79,AU,1675219817
12,mahebourg,-20.4081,57.7,25.16,88,40,3.09,MU,1675220056
13,conway,35.0887,-92.4421,-2.01,96,100,3.6,US,1675220056
14,kruisfontein,-34.0033,24.7314,17.16,91,0,2.4,ZA,1675219913
15,bichura,50.5881,107.6022,-15.68,82,96,0.59,RU,1675220056
16,punta arenas,-53.15,-70.9167,12.06,62,20,9.77,CL,1675219971
17,longyearbyen,78.2186,15.6401,-9.09,67,20,6.69,SJ,1675219783
18,san benito abad,8.929,-75.0271,23.95,78,10,1.26,CO,1675220057
19,hirara,24.8,125.2833,22.92,64,75,3.6,JP,1675219541
20,toledo,39.8333,-4.0,2.4,70,0,0.84,ES,1675220057
21,la palma,33.8464,-118.0467,16.34,40,0,1.54,US,1675219850
22,malakal,9.5334,31.6605,25.27,17,4,3.01,SS,1675220058
23,kodiak,57.79,-152.4072,3.73,87,100,2.57,US,1675219949
24,tazovskiy,67.4667,78.7,-14.43,92,100,7.57,RU,1675220058
25,cape town,-33.9258,18.4232,22.43,81,0,4.63,ZA,1675219891
26,san patricio,28.017,-97.5169,3.93,83,100,6.07,US,1675220059
27,cherskiy,68.75,161.3,-24.25,100,54,2.74,RU,1675220059
28,mayo,38.8876,-76.5119,3.41,89,100,3.09,US,1675219486
29,sakaiminato,35.55,133.2333,6.96,87,75,1.54,JP,1675219968
30,busselton,-33.65,115.3333,24.4,38,0,5.75,AU,1675220060
31,daru,-9.0763,143.2092,30.86,66,100,2.32,PG,1675219887
32,atuona,-9.8,-139.0333,26.1,77,92,9.86,PF,1675219830
33,clyde river,70.4692,-68.5914,-31.87,75,0,3.09,CA,1675219263
34,saint-philippe,-21.3585,55.7679,24.77,87,89,5.23,RE,1675220061
35,fairbanks,64.8378,-147.7164,-9.39,83,75,2.57,US,1675219730
36,maniitsoq,65.4167,-52.9,-16.32,78,100,5.33,GL,1675220061
37,barrow,71.2906,-156.7887,-20.99,77,0,10.29,US,1675220061
38,takaka,-40.85,172.8,19.75,97,100,3.01,NZ,1675220062
39,hermanus,-34.4187,19.2345,17.67,93,3,0.81,ZA,1675219794
40,sheregesh,52.9209,87.9869,-13.31,95,99,1.04,RU,1675220062
41,bubaque,11.2833,-15.8333,25.08,59,3,5.99,GW,1675219743
42,eirunepe,-6.6603,-69.8736,22.37,99,100,1.21,BR,1675220063
43,sao joao da barra,-21.6403,-41.0511,24.62,86,43,9.1,BR,1675220063
44,harper,4.375,-7.7169,25.94,86,44,2.42,LR,1675219491
45,kaeo,-35.1,173.7833,23.42,75,98,3.58,NZ,1675219915
46,palmer,42.1584,-72.3287,-3.2,65,40,3.09,US,1675219570
47,sirajganj,24.45,89.7167,19.3,62,41,5.1,BD,1675220064
48,morehead,37.2711,-87.1764,-3.89,94,100,2.06,US,1675220064
49,khatanga,71.9667,102.5,-42.54,100,64,1.38,RU,1675220064
50,qaanaaq,77.484,-69.3632,-21.49,47,84,3.35,GL,1675219972
51,amahai,-3.3333,128.9167,30.19,64,83,1.02,ID,1675220065
52,port blair,11.6667,92.75,29.02,74,75,1.54,IN,1675220065
53,paamiut,61.994,-49.6678,-10.06,69,100,4.65,GL,1675219510
54,victoria,22.2855,114.1577,23.31,80,62,1.34,HK,1675220058
55,severodvinsk,64.5635,39.8302,-2.94,87,100,5.39,RU,1675220066
56,hambantota,6.1241,81.1185,24.19,100,20,2.06,LK,1675220066
57,bilma,18.6853,12.9164,15.15,29,100,6.41,NE,1675219787
58,new norfolk,-42.7826,147.0587,18.84,39,73,1.79,AU,1675220067
59,serenje,-13.2325,30.2352,16.59,98,97,1.57,ZM,1675220067
60,kapaa,22.0752,-159.319,26.18,81,75,4.63,US,1675220067
61,nizwa,22.9333,57.5333,15.23,53,3,1.13,OM,1675220068
62,albany,42.6001,-73.9662,-5.99,64,96,1.89,US,1675219892
63,samarai,-10.6167,150.6667,29.33,69,98,0.39,PG,1675220068
64,puerto ayora,-0.7393,-90.3518,25.31,88,78,2.23,EC,1675220069
65,guerrero negro,27.9769,-114.0611,13.69,58,10,3.62,MX,1675219922
66,vostok,46.4856,135.8833,-12.9,74,100,1.48,RU,1675220069
67,chaoyang,41.5703,120.4586,-3.68,24,0,10.82,CN,1675220069
68,margate,51.3813,1.3862,4.83,78,90,2.24,GB,1675219772
69,hilo,19.7297,-155.09,24.6,92,20,5.14,US,1675220070
70,grand forks,47.9417,-97.4337,-23.15,77,0,4.12,US,1675219831
71,novoilinsk,51.6829,108.7143,-17.49,88,78,0.66,RU,1675220070
72,sorland,67.667,12.6934,1.92,65,48,3.31,NO,1675220071
73,nanakuli,21.3906,-158.1547,28.65,59,20,3.09,US,1675219505
74,paramonga,-10.6667,-77.8333,22.53,78,100,2.59,PE,1675220071
75,oranjemund,-28.55,16.4333,16.98,94,65,2.04,NA,1675219543
76,bathsheba,13.2167,-59.5167,23.34,83,20,4.12,BB,1675220071
77,lincoln,40.8,-96.667,-7.62,66,0,1.79,US,1675220072
78,manado,1.487,124.8455,28.43,83,40,1.54,ID,1675220072
79,olkhovatka,50.2831,39.2872,-7.09,96,78,0.67,RU,1675220072
80,san ramon de la nueva oran,-23.1322,-64.326,25.79,95,93,1.54,AR,1675220073
81,kloulklubed,7.0419,134.2556,29.28,80,75,10.18,PW,1675219846
82,tuatapere,-46.1333,167.6833,22.17,65,96,1.75,NZ,1675219805
83,chuy,-33.6971,-53.4616,21.33,92,6,2.59,UY,1675219877
84,raudeberg,61.9875,5.1352,3.37,1,100,9.41,NO,1675220073
85,provideniya,64.3833,-173.3,-4.8,86,100,0.0,RU,1675220074
86,bonavista,48.6499,-53.1147,-1.9,96,100,5.08,CA,1675220074
87,kungurtug,50.5994,97.5228,-17.9,88,23,0.48,RU,1675219524
88,east london,-33.0153,27.9116,21.55,82,4,2.21,ZA,1675219841
89,cururupu,-1.8283,-44.8683,23.78,95,100,1.51,BR,1675219833
90,poum,-20.2333,164.0167,26.64,63,77,2.09,NC,1675219573
91,touros,-5.1989,-35.4608,26.37,74,100,6.09,BR,1675219535
92,turukhansk,65.8167,87.9833,-16.31,96,98,4.31,RU,1675220075
93,bredasdorp,-34.5322,20.0403,18.22,95,12,1.99,ZA,1675220075
94,carnarvon,-24.8667,113.6333,28.28,63,31,6.49,AU,1675220075
95,pangkalanbuun,-2.6833,111.6167,28.27,76,100,1.33,ID,1675219838
96,aklavik,68.2191,-135.0107,-35.7,100,69,2.23,CA,1675220076
97,arraial do cabo,-22.9661,-42.0278,24.27,88,85,10.95,BR,1675219219
98,taoudenni,22.6783,-3.9836,13.22,22,100,5.69,ML,1675220076
99,wanning,18.8003,110.3967,23.73,74,19,2.2,CN,1675219959
100,bluff,-46.6,168.3333,17.19,87,100,2.61,NZ,1675220077
101,avarua,-21.2078,-159.775,27.03,78,100,7.72,CK,1675220077
102,jijiga,9.35,42.8,15.44,46,4,2.26,ET,1675220077
103,marathon,44.9,-89.7668,-13.42,67,0,4.63,US,1675220078
104,buluang,13.3068,123.3425,29.1,67,25,1.19,PH,1675220078
105,derzhavinsk,51.1,66.3167,-20.64,92,49,3.1,KZ,1675220078
106,benghazi,32.1167,20.0667,14.45,56,38,11.04,LY,1675220079
107,namatanai,-3.6667,152.4333,28.58,71,99,2.91,PG,1675219489
108,najran,17.4924,44.1277,14.36,46,63,2.81,SA,1675219471
109,takoradi,4.8845,-1.7554,25.51,87,69,1.05,GH,1675219571
110,mersing,2.4312,103.8405,23.95,94,40,2.57,MY,1675220079
111,torbay,47.6666,-52.7314,0.32,93,100,3.09,CA,1675220079
112,lompoc,34.6391,-120.4579,11.08,78,0,0.0,US,1675219886
113,north platte,41.1239,-100.7654,-13.68,75,0,3.09,US,1675220080
114,kavaratti,10.5669,72.642,26.57,74,91,5.73,IN,1675220080
115,butaritari,3.0707,172.7902,26.79,79,100,7.53,KI,1675220081
116,sitka,57.0531,-135.33,3.94,81,100,7.2,US,1675219518
117,ushuaia,-54.8,-68.3,13.81,51,75,7.2,AR,1675220081
118,hithadhoo,-0.6,73.0833,27.24,73,19,5.59,MV,1675220081
119,capao da canoa,-29.7456,-50.0097,23.44,85,0,1.19,BR,1675220082
120,kavieng,-2.5744,150.7967,28.8,71,90,3.88,PG,1675219558
121,huarmey,-10.0681,-78.1522,22.32,78,99,2.77,PE,1675220082
122,krasnokholm,51.5979,54.1567,-19.34,93,39,2.86,RU,1675220082
123,pacific grove,36.6177,-121.9166,10.24,68,0,0.89,US,1675220083
124,dudinka,69.4058,86.1778,-18.03,93,99,6.86,RU,1675220083
125,fort frances,48.5999,-93.4003,-20.88,65,0,2.57,CA,1675219863
126,mariel,22.9875,-82.7536,23.08,84,6,5.44,CU,1675220084
127,tucumcari,35.1717,-103.725,-4.09,86,100,2.06,US,1675220084
128,hay river,60.8156,-115.7999,-25.01,77,75,3.09,CA,1675220084
129,sancti spiritus,21.9297,-79.4425,21.93,84,2,4.08,CU,1675220085
130,talnakh,69.4865,88.3972,-15.44,96,100,4.57,RU,1675219918
131,henties bay,-22.116,14.2845,17.57,86,100,2.09,NA,1675219493
132,saldanha,-33.0117,17.9442,15.03,92,0,5.79,ZA,1675220085
133,chabahar,25.2919,60.643,18.59,66,0,3.02,IR,1675220085
134,hrodna,53.6884,23.8258,0.37,98,100,6.29,BY,1675220056
135,kluang,2.0251,103.3328,26.57,73,96,2.57,MY,1675220086
136,port hardy,50.6996,-127.4199,3.1,87,100,5.14,CA,1675220086
137,cabo san lucas,22.8909,-109.9124,20.17,77,100,2.06,MX,1675219964
138,houma,29.5958,-90.7195,19.44,92,40,2.06,US,1675219937
139,dingle,10.9995,122.6711,28.12,78,54,6.73,PH,1675219760
140,vila velha,-20.3297,-40.2925,24.97,83,20,2.57,BR,1675219487
141,hasaki,35.7333,140.8333,12.9,41,18,10.09,JP,1675219935
142,upernavik,72.7868,-56.1549,-19.98,93,100,4.1,GL,1675219984
143,klyuchi,52.2667,79.1667,-18.61,99,72,0.95,RU,1675220087
144,souillac,-20.5167,57.5167,25.21,88,40,3.09,MU,1675219896
145,buala,-8.145,159.5921,28.13,75,93,3.78,SB,1675219930
146,adrar,20.5022,-10.0711,15.32,14,13,4.51,MR,1675220088
147,sao jose da coroa grande,-8.8978,-35.1478,25.15,83,63,3.37,BR,1675219508
148,at-bashi,41.1702,75.8106,-12.76,74,79,1.58,KG,1675220088
149,merritt island,28.5392,-80.672,23.38,81,20,2.57,US,1675220088
150,rocha,-34.4833,-54.3333,19.88,96,9,2.12,UY,1675219319
151,richards bay,-28.783,32.0377,23.15,90,100,5.0,ZA,1675219517
152,laguna,38.421,-121.4238,10.16,51,0,2.06,US,1675219509
153,rasulnagar,32.3285,73.7814,10.34,56,34,1.57,PK,1675220089
154,nosy varika,-20.5833,48.5333,24.76,86,100,4.62,MG,1675220089
155,beaverlodge,55.2166,-119.4361,-11.36,96,100,0.88,CA,1675220090
156,mount gambier,-37.8333,140.7667,17.85,42,90,4.34,AU,1675220090
157,oussouye,12.485,-16.5469,20.1,39,64,4.39,SN,1675220090
158,ondjiva,-17.0667,15.7333,18.96,90,100,0.95,AO,1675220091
159,senj,44.9894,14.9058,6.2,84,0,0.95,HR,1675220091
160,yar-sale,66.8333,70.8333,-9.75,95,100,6.98,RU,1675220092
161,kargasok,59.0556,80.8572,-19.62,99,26,2.5,RU,1675220092
162,srednekolymsk,67.45,153.6833,-28.76,95,96,1.42,RU,1675220092
163,rivadavia,-33.1905,-68.4608,24.18,61,100,6.24,AR,1675220093
164,zhanaozen,43.3,52.8,0.86,74,100,4.6,KZ,1675220061
165,vao,-22.6667,167.4833,26.24,77,81,5.16,NC,1675219548
166,north bend,43.4065,-124.2243,6.95,74,0,0.0,US,1675219785
167,savannah bight,16.45,-85.85,26.47,77,6,9.65,HN,1675220093
168,chissamba,-12.1667,17.3333,15.49,96,100,1.02,AO,1675220094
169,pevek,69.7008,170.3133,-15.44,86,8,1.34,RU,1675219501
170,suntar,62.1444,117.6319,-31.78,95,71,2.36,RU,1675220094
171,jamestown,42.097,-79.2353,-8.23,83,75,2.06,US,1675219965
172,launceston,-41.45,147.1667,22.11,63,40,4.12,AU,1675220094
173,zhezkazgan,47.8043,67.7144,-19.01,84,40,4.0,KZ,1675219583
174,drumheller,51.4617,-112.7101,-10.09,85,99,1.03,CA,1675220095
175,xichang,27.8964,102.2634,15.23,45,0,0.93,CN,1675219882
176,bethel,41.3712,-73.414,-1.25,59,0,2.57,US,1675220095
177,boende,-0.2167,20.8667,21.52,79,23,1.2,CD,1675220096
178,the valley,18.217,-63.0578,24.5,68,0,8.09,AI,1675219640
179,mar del plata,-38.0023,-57.5575,20.53,88,75,3.13,AR,1675219936
180,coahuayana,18.7333,-103.6833,20.67,91,7,0.96,MX,1675219867
181,santa luzia,-19.7697,-43.8514,23.5,68,0,1.54,BR,1675220096
182,beipiao,41.7919,120.7792,-4.96,27,0,10.78,CN,1675220097
183,gamba,-2.65,10.0,24.85,88,94,2.63,GA,1675220097
184,hami,42.8,93.45,-2.06,32,100,1.27,CN,1675220097
185,maridi,4.9158,29.4742,23.82,44,5,1.53,SS,1675220097
186,robertsport,6.7533,-11.3686,25.43,89,8,1.89,LR,1675220098
187,kieta,-6.2167,155.6333,29.51,69,82,3.04,PG,1675219851
188,nikolskoye,59.7035,30.7861,-0.05,91,99,3.77,RU,1675220098
189,tucuman,-26.8241,-65.2226,25.0,78,0,3.09,AR,1675220099
190,yellowknife,62.456,-114.3525,-31.71,68,20,5.14,CA,1675220031
191,zyryanovsk,49.7386,84.2719,-16.97,93,100,0.22,KZ,1675220099
192,saint george,37.1041,-113.5841,0.53,35,0,4.12,US,1675220099
193,inuvik,68.3499,-133.7218,-28.52,72,40,1.03,CA,1675219930
194,sept-iles,50.2001,-66.3821,-16.0,70,0,4.12,CA,1675219801
195,narsaq,60.9167,-46.05,-7.88,94,100,1.44,GL,1675220100
196,pisco,-13.7,-76.2167,23.03,78,0,5.14,PE,1675220100
197,hyeres,43.1167,6.1167,8.71,71,0,2.57,FR,1675220101
198,mecca,21.4267,39.8261,21.18,77,22,2.82,SA,1675220101
199,faanui,-16.4833,-151.75,27.38,75,100,6.29,PF,1675220101
200,ahuimanu,21.4447,-157.8378,28.52,79,20,3.6,US,1675219970
201,boden,65.8252,21.6886,-11.0,97,32,2.01,SE,1675220102
202,kibre mengist,5.8833,38.9833,11.43,80,4,1.3,ET,1675220102
203,klaksvik,62.2266,-6.589,4.02,93,96,13.64,FO,1675219779
204,georgetown,5.4112,100.3354,28.96,78,20,2.06,MY,1675220021
205,anadyr,64.75,177.4833,-2.72,92,75,9.0,RU,1675219567
206,petropavlovsk-kamchatskiy,53.0452,158.6483,-9.67,53,0,2.0,RU,1675219520
207,half moon bay,37.4636,-122.4286,11.88,44,0,5.14,US,1675219957
208,katunino,64.3862,40.6298,-3.06,91,100,4.6,RU,1675220103
209,muroto,33.2833,134.15,11.1,61,98,4.65,JP,1675220103
210,haimen,23.1935,116.6142,17.94,72,71,3.26,CN,1675220104
211,misratah,32.3754,15.0925,14.36,64,89,9.54,LY,1675220104
212,leningradskiy,69.3833,178.4167,-14.48,96,100,4.26,RU,1675219512
213,omaruru,-21.4333,15.9333,20.54,52,83,1.46,NA,1675220105
214,poronaysk,49.2167,143.1167,-15.57,77,14,1.13,RU,1675220105
215,lebu,-37.6167,-73.65,13.76,84,0,9.07,CL,1675220105
216,gualaco,15.05,-86.05,25.91,94,17,1.18,HN,1675220106
217,skelleftea,64.7507,20.9528,-12.22,100,42,2.57,SE,1675220106
218,urumqi,43.801,87.6005,-14.47,85,100,1.0,CN,1675219883
219,dawei,14.0833,98.2,27.97,35,86,0.97,MM,1675220106
220,capinzal,-27.3436,-51.6119,19.68,97,61,1.16,BR,1675220107
221,oriximina,-1.7656,-55.8661,22.94,92,100,1.2,BR,1675219889
222,prince george,53.9166,-122.753,-4.3,91,100,7.72,CA,1675220107
